Arakawa17	chapters/theory/chiral_modules.tex:2094;chapters/theory/chiral_modules.tex:2118;chapters/theory/chiral_modules.tex:2155;chapters/theory/koszul_pair_structure.tex:1357;chapters/theory/bar_cobar_adjunction_inversion.tex:1816;chapters/examples/w_algebras.tex:992;chapters/examples/w_algebras.tex:2868;chapters/examples/w_algebras.tex:2873;chapters/examples/w_algebras.tex:2906;chapters/examples/w_algebras.tex:3041;chapters/examples/minimal_model_fusion.tex:65;chapters/examples/minimal_model_fusion.tex:75;chapters/examples/kac_moody.tex:2743;chapters/examples/kac_moody.tex:2753;chapters/examples/kac_moody.tex:2760;chapters/examples/kac_moody.tex:3476;chapters/examples/kac_moody.tex:3485;chapters/examples/kac_moody.tex:3500;chapters/examples/kac_moody.tex:3556;chapters/examples/kac_moody.tex:3585;chapters/examples/kac_moody.tex:3651;chapters/examples/w_algebras_deep.tex:117	none
Arakawa2005Duke	chapters/theory/bar_cobar_adjunction_inversion.tex:2062	none
Arakawa2015ICM	chapters/theory/bar_cobar_adjunction_inversion.tex:2062	none
Arakawa2016RationalAdmissible	chapters/theory/bar_cobar_adjunction_inversion.tex:1816;chapters/theory/bar_cobar_adjunction_inversion.tex:2062;chapters/theory/bar_cobar_adjunction_inversion.tex:4940;chapters/theory/bar_cobar_adjunction_inversion.tex:4958;chapters/connections/concordance.tex:9289	none
ArakawaMoreau17	chapters/examples/w_algebras.tex:774	none
Arkhipov97	chapters/connections/bv_brst.tex:549;chapters/connections/bv_brst.tex:974;chapters/connections/editorial_constitution.tex:2070	none
Atiyah71	chapters/examples/free_fields.tex:3952	none
AvE23	chapters/theory/koszul_pair_structure.tex:1220;chapters/examples/logarithmic_w_algebras.tex:298	none
BB81	chapters/theory/chiral_modules.tex:1793;chapters/theory/chiral_modules.tex:4086;chapters/theory/chiral_modules.tex:4108;chapters/theory/chiral_modules.tex:4270;chapters/theory/chiral_koszul_pairs.tex:5982	none
BCOV93	chapters/theory/e1_modular_koszul.tex:617;chapters/theory/higher_genus_modular_koszul.tex:30151	none
BEHFH96	chapters/theory/bar_cobar_adjunction_curved.tex:5393	none
BFM04	chapters/theory/derived_langlands.tex:1474;chapters/theory/chiral_koszul_pairs.tex:6003	none
BFN18	chapters/connections/editorial_constitution.tex:2104;chapters/connections/editorial_constitution.tex:2119;chapters/examples/yangians_computations.tex:41;chapters/examples/w_algebras_deep.tex:3374	none
BG24	chapters/connections/editorial_constitution.tex:2204	none
