volume,order,main_tex_line,file,heading,toc_start_page,lines,words,labels,refs,cites,theorems,definitions,examples,remarks,ClaimStatusProvedHere,ClaimStatusProvedElsewhere,ClaimStatusConjectured,ClaimStatusConditional,ClaimStatusNeedsVerification,Conditional,Conjectured,NeedsVerification,band,suggested_operation
V1,37,1389,chapters/examples/toroidal_elliptic.tex,Toroidal and elliptic algebras,1659,1562,9959,87,88,8,10,8,0,16,5,7,6,0,0,3,6,0,Frontier,split
V1,38,1398,chapters/examples/genus_expansions.tex,Explicit genus expansions,1677,3291,23400,212,225,11,38,1,1,35,35,7,5,0,0,0,5,0,Frontier,split
V1,39,1404,chapters/examples/bar_complex_tables.tex,Detailed computations,1719,4360,28495,175,178,7,16,0,1,11,25,1,1,0,0,0,1,0,Atlas,split
V1,40,1408,chapters/examples/landscape_census.tex,Summary of Part XI,1771,2776,18129,81,378,4,20,0,0,26,21,1,7,0,0,0,8,0,Atlas,split
V1,41,1413,appendices/combinatorial_frontier.tex,The combinatorial frontier of chiral bar cohomology,,1198,10152,46,71,2,1,0,0,5,1,0,2,0,0,0,5,0,Frontier,retain
V1,42,1452,chapters/connections/poincare_computations.tex,Explicit computations via NAP duality,1823,298,2323,12,13,0,2,1,4,3,3,0,2,0,0,0,2,0,Core,retain
V1,43,1453,chapters/connections/feynman_diagrams.tex,Feynman diagram interpretation of bar-cobar duality,1829,1153,7431,42,44,8,14,5,6,5,13,2,1,0,0,0,1,0,Core,retain
V1,44,1454,chapters/connections/feynman_connection.tex,The free boson at genus~\texorpdfstring{$0$,,153,917,6,9,2,2,0,0,0,1,1,1,0,0,0,1,0,Core,retain
V1,45,1455,chapters/connections/bv_brst.tex,BV-BRST formalism and Gaiotto's perspective,1847,1246,8852,48,77,19,16,5,1,11,13,3,1,0,0,0,1,0,Core,retain
V1,46,1456,chapters/connections/holomorphic_topological.tex,Holomorphic-topological boundary conditions and 4d origins,1863,61,377,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,stub/pointer
V1,47,1457,chapters/connections/kontsevich_integral.tex,Knot invariants and the Kontsevich integral,1865,543,3285,23,25,7,6,3,0,4,6,5,3,0,0,0,3,0,Core,retain
V1,48,1458,chapters/connections/physical_origins.tex,Physical origins,1873,17,99,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,stub/pointer
V1,49,1459,chapters/connections/genus_complete.tex,The modular Chern--Weil transform,1887,1677,12104,98,98,18,17,18,5,14,12,6,11,0,0,0,11,0,Frontier,split
V1,50,1463,chapters/connections/ym_boundary_theory.tex,Yang--Mills boundary theory via bar--cobar duality,1895,621,3619,27,40,2,15,4,0,4,15,0,0,0,0,1,0,0,Frontier,retain
V1,51,1464,chapters/connections/ym_higher_body_couplings.tex,Relative Hochschild duality and higher-body couplings,1903,629,3772,29,20,0,14,9,0,2,14,0,0,0,0,0,0,0,Frontier,retain
V1,52,1465,chapters/connections/ym_instanton_screening.tex,"Instanton completion, screening, and the mass-gap reduction",1913,756,4306,36,21,0,14,13,0,3,13,0,1,0,0,1,1,0,Frontier,retain
V1,53,1469,chapters/theory/en_koszul_duality.tex,\texorpdfstring{$\En$ Koszul duality and higher-dimensional bar complexes,,1187,6798,58,57,26,15,7,3,11,6,9,1,0,0,0,1,0,Core,retain
V1,54,1473,chapters/theory/derived_langlands.tex,Derived structures and the geometric Langlands correspondence,1939,1199,7375,57,81,23,15,5,1,16,12,5,2,0,0,0,2,0,Frontier,retain
V1,55,1503,chapters/connections/frontier_modular_holography_platonic.tex,"Modular holography on the proved core: reconstruction, transposition, quantization, and metaplectic anomaly",1953,3461,19003,195,142,26,29,13,0,16,43,0,8,0,0,0,8,0,Frontier,split
V1,56,1510,chapters/connections/semistrict_modular_higher_spin_w3.tex,Semistrict modular higher-spin geometry of the classical \texorpdfstring{$W_3$,,786,5362,50,36,10,16,10,0,7,16,0,4,0,0,0,4,0,Core,retain
V1,57,1513,chapters/connections/concordance.tex,Concordance with primary literature,2003,3852,22829,109,467,53,14,4,0,31,21,4,8,0,0,0,9,0,Atlas,split; back-matter
V1,58,1517,chapters/connections/editorial_constitution.tex,Editorial constitution and research directions,2047,2803,17325,70,542,38,12,2,0,28,14,3,11,0,0,0,11,0,Atlas,split; back-matter
V1,59,1523,bibliography/references.tex,,,968,7510,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Core,retain
V1,60,1539,appendices/general_relations.tex,Geometric dictionary,,124,991,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Core,retain
V1,61,1540,appendices/arnold_relations.tex,Arnold relations,,516,4414,23,17,20,9,2,0,4,6,3,0,0,0,0,0,0,Core,retain
V1,62,1541,appendices/signs_and_shifts.tex,Sign conventions and shifts,,1842,11927,65,27,24,15,11,7,8,4,11,0,0,0,0,0,0,Core,split
